 4.193e+00 2.5969e-02 2.5969e-02 [ 1.1009e-02 1.1385e-02 3.1726e-03 1.0883e-04 1.4838e-04 1.4311e-05 5.1903e-06 4.7802e-06 4.3923e-06 4.7633e-06 1.1653e-05 7.9945e-06 2.7588e-05 2.5675e-05 3.8950e-05 ] 9.7403e-01
 4.307e+00 2.5842e-02 2.5842e-02 [ 1.0583e-02 1.1523e-02 3.3127e-03 1.1501e-04 1.5713e-04 1.5182e-05 5.4997e-06 5.0423e-06 4.5947e-06 5.0173e-06 1.2313e-05 8.4367e-06 2.9003e-05 2.6875e-05 4.0327e-05 ] 9.7416e-01
 4.420e+00 2.5708e-02 2.5708e-02 [ 1.0160e-02 1.1646e-02 3.4541e-03 1.2140e-04 1.6621e-04 1.6090e-05 5.8225e-06 5.3145e-06 4.8038e-06 5.2806e-06 1.2998e-05 8.8942e-06 3.0458e-05 2.8098e-05 4.1721e-05 ] 9.7429e-01
 4.533e+00 2.5567e-02 2.5567e-02 [ 9.7426e-03 1.1757e-02 3.5968e-03 1.2800e-04 1.7563e-04 1.7037e-05 6.1595e-06 5.5976e-06 5.0203e-06 5.5537e-06 1.3710e-05 9.3678e-06 3.1953e-05 2.9343e-05 4.3132e-05 ] 9.7443e-01
 4.647e+00 2.5424e-02 2.5424e-02 [ 9.3315e-03 1.1857e-02 3.7408e-03 1.3481e-04 1.8541e-04 1.8027e-05 6.5115e-06 5.8923e-06 5.2446e-06 5.8374e-06 1.4449e-05 9.8581e-06 3.3491e-05 3.0613e-05 4.4562e-05 ] 9.7458e-01
 4.760e+00 2.5279e-02 2.5279e-02 [ 8.9278e-03 1.1945e-02 3.8861e-03 1.4185e-04 1.9556e-04 1.9060e-05 6.8794e-06 6.1993e-06 5.4777e-06 6.1323e-06 1.5219e-05 1.0366e-05 3.5074e-05 3.1907e-05 4.6015e-05 ] 9.7472e-01
 4.873e+00 2.5134e-02 2.5134e-02 [ 8.5324e-03 1.2023e-02 4.0326e-03 1.4913e-04 2.0609e-04 2.0140e-05 7.2641e-06 6.5194e-06 5.7200e-06 6.4392e-06 1.6019e-05 1.0892e-05 3.6703e-05 3.3227e-05 4.7492e-05 ] 9.7487e-01
 4.987e+00 2.4990e-02 2.4990e-02 [ 8.1462e-03 1.2091e-02 4.1803e-03 1.5664e-04 2.1702e-04 2.1269e-05 7.6666e-06 6.8536e-06 5.9726e-06 6.7589e-06 1.6853e-05 1.1438e-05 3.8382e-05 3.4574e-05 4.8994e-05 ] 9.7501e-01
 5.100e+00 2.4850e-02 2.4850e-02 [ 7.7699e-03 1.2151e-02 4.3292e-03 1.6439e-04 2.2837e-04 2.2449e-05 8.0881e-06 7.2029e-06 6.2360e-06 7.0924e-06 1.7722e-05 1.2004e-05 4.0110e-05 3.5949e-05 5.0526e-05 ] 9.7515e-01
 5.213e+00 2.4714e-02 2.4714e-02 [ 7.4039e-03 1.2202e-02 4.4794e-03 1.7240e-04 2.4016e-04 2.3684e-05 8.5296e-06 7.5682e-06 6.5113e-06 7.4405e-06 1.8627e-05 1.2591e-05 4.1893e-05 3.7353e-05 5.2088e-05 ] 9.7529e-01
 5.327e+00 2.4583e-02 2.4583e-02 [ 7.0486e-03 1.2245e-02 4.6308e-03 1.8067e-04 2.5240e-04 2.4976e-05 8.9924e-06 7.9506e-06 6.7994e-06 7.8043e-06 1.9572e-05 1.3201e-05 4.3731e-05 3.8789e-05 5.3684e-05 ] 9.7542e-01
