[ 1.3757e-02 -1.2843e+00 -2.1561e+00 -9.4961e-01 ] [ -2.2691e-01 -1.6608e+00 -1.1986e+00 -9.0113e-03 -4.8956e-01 -2.6378e-01 -7.0129e-01 ] -1.17871e-01 6.62970e-01 -3.44509e+00
[ 8.7989e-03 -1.2618e+00 -2.1128e+00 -9.3763e-01 ] [ -2.2843e-01 -1.6290e+00 -1.1751e+00 -1.3714e-02 -4.8542e-01 -2.6607e-01 -6.9375e-01 ] -1.17930e-01 6.64319e-01 -3.35930e+00
[ 3.8396e-03 -1.2389e+00 -2.0689e+00 -9.2530e-01 ] [ -2.2986e-01 -1.5967e+00 -1.1514e+00 -1.8407e-02 -4.8111e-01 -2.6821e-01 -6.8596e-01 ] -1.17150e-01 6.65211e-01 -3.27290e+00
[ -1.1013e-03 -1.2156e+00 -2.0245e+00 -9.1264e-01 ] [ -2.3117e-01 -1.5639e+00 -1.1274e+00 -2.3071e-02 -4.7662e-01 -2.7021e-01 -6.7792e-01 ] -1.15634e-01 6.65681e-01 -3.18590e+00
[ -6.0063e-03 -1.1920e+00 -1.9797e+00 -8.9967e-01 ] [ -2.3237e-01 -1.5308e+00 -1.1031e+00 -2.7690e-02 -4.7196e-01 -2.7206e-01 -6.6964e-01 ] -1.13477e-01 6.65766e-01 -3.09833e+00
[ -1.0860e-02 -1.1681e+00 -1.9343e+00 -8.8641e-01 ] [ -2.3345e-01 -1.4973e+00 -1.0786e+00 -3.2251e-02 -4.6712e-01 -2.7375e-01 -6.6113e-01 ] -1.10771e-01 6.65500e-01 -3.01023e+00
[ -1.5648e-02 -1.1439e+00 -1.8885e+00 -8.7288e-01 ] [ -2.3440e-01 -1.4635e+00 -1.0538e+00 -3.6740e-02 -4.6211e-01 -2.7531e-01 -6.5239e-01 ] -1.07604e-01 6.64920e-01 -2.92161e+00
[ -2.0361e-02 -1.1194e+00 -1.8423e+00 -8.5909e-01 ] [ -2.3523e-01 -1.4293e+00 -1.0287e+00 -4.1148e-02 -4.5693e-01 -2.7672e-01 -6.4345e-01 ] -1.04062e-01 6.64065e-01 -2.83252e+00
[ -2.4989e-02 -1.0946e+00 -1.7957e+00 -8.4508e-01 ] [ -2.3593e-01 -1.3947e+00 -1.0034e+00 -4.5469e-02 -4.5160e-01 -2.7800e-01 -6.3431e-01 ] -1.00228e-01 6.62974e-01 -2.74299e+00
[ -2.9530e-02 -1.0696e+00 -1.7487e+00 -8.3085e-01 ] [ -2.3652e-01 -1.3599e+00 -9.7783e-01 -4.9698e-02 -4.4611e-01 -2.7916e-01 -6.2500e-01 ] -9.61824e-02 6.61687e-01 -2.65304e+00
